Reference, Value, Footprint, Datasheet, digikey
BT1,Battery_9v,Wire_Pads:SolderWirePad_2x_1-2mmDrill,,BS6I-ND
C2,100pF,Resistors_SMD:R_1206_HandSoldering,,1276-2802-1-ND
R3,1M,Resistors_SMD:R_1206_HandSoldering,,311-1.00MFRCT-ND
RV1,50k,modules:PTV09A,,PTV09A-4025F-B503-ND
P1,aerial,,
U1,TL071IDT,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,497-2199-1-ND
R9,1k,Resistors_SMD:R_1206_HandSoldering,,311-1.00KFRCT-ND
SP1,piezo,modules:PS1420,,445-2526-3-ND
R5,1M,Resistors_SMD:R_1206_HandSoldering,,311-1.00MFRCT-ND
C4,100nF,Resistors_SMD:R_1206_HandSoldering,,399-1249-1-ND
Q1,DMP3099L-7,TO_SOT_Packages_SMD:SOT-23_Handsoldering,,DMP3099L-7DICT-ND
Q2,2N7002E,TO_SOT_Packages_SMD:SOT-23_Handsoldering,,2N7002ECT-ND
Q3,2N7002E,TO_SOT_Packages_SMD:SOT-23_Handsoldering,,2N7002ECT-ND
R1,100k,Resistors_SMD:R_1206_HandSoldering,,P100KFCT-ND
R2,100k,Resistors_SMD:R_1206_HandSoldering,,P100KFCT-ND
C1,1uF,Resistors_SMD:R_1206_HandSoldering,,1276-1068-1-ND
D2,1n4148,Diodes_SMD:SOD-123,,1N4148WTPMSTR-ND
SW1,on-off,Buttons_Switches_ThroughHole:SW_TH_Tactile_Omron_B3F-10xx,,450-1642-ND
C3,10uF,Resistors_SMD:R_1206_HandSoldering,,478-8237-2-ND
R6,100k,Resistors_SMD:R_1206_HandSoldering,,P100KFCT-ND
R4,330k,Resistors_SMD:R_1206_HandSoldering,,311-330KFRCT-ND
D3,LED,LEDs:LED-5MM,,365-1203-ND
R7,680,Resistors_SMD:R_1206_HandSoldering,,311-680FRCT-ND
P2,aerial_gnd,,
R8,10M,Resistors_SMD:R_1206_HandSoldering,,311-10.0MFRCT-ND
C5,470uF,Capacitors_SMD:c_elec_8x10,,493-2181-1-ND
D4,1N4148,Diodes_SMD:SOD-123,,1N4148WTPMSTR-ND
D1,1n4148,Diodes_SMD:SOD-123,,1N4148WTPMSTR-ND
R10,330,Resistors_SMD:R_1206_HandSoldering,,311-330FRCT-ND
C6,100pF,Resistors_SMD:R_1206_HandSoldering,,1276-2802-1-ND
H1,enclosure,,,377-1649-ND
H2,pot_knob,,,GH7628-ND
